"","model_1_f1","model_1_f2","model_1_f3","model_1_f4"
"214",0.867729292651027,0.81426975006088,0.684123900134386,0.851420561206801
"215",0.867609265292259,0.825359717909518,0.676552880497976,0.848202560918611
"216",0.872791488553449,0.812966419535692,0.658080969133324,0.845538423459943
"217",0.865931183300534,0.818433770648425,0.669557502897017,0.844932509048001
"218",0.858719366696604,0.819826647331359,0.66970492436719,0.847944116522651
"219",0.855676962839312,0.823171226119345,0.675514227516808,0.836560397068629
"220",0.858525950868041,0.820212928228095,0.667867277285125,0.848763686954213
"221",0.851401351303104,0.808991911486094,0.67661746709364,0.854205333130025
"222",0.860497958220089,0.825122535365533,0.650536741759703,0.849700417729465
"223",0.86630546470549,0.822037590319715,0.675173992632467,0.850832645712685
"224",0.861015610100939,0.818643571088482,0.646656417052527,0.85302566530356
"225",0.85648510216805,0.823735326866798,0.670093490627153,0.858080589418803
"226",0.858034980303696,0.823642796054564,0.682809613391506,0.856247393748691
"227",0.868654393847647,0.817071558676527,0.620517817615199,0.853690833593258
"228",0.864158884693686,0.824268853517167,0.622929523384244,0.850592035929241
"229",0.874107802589921,0.816259706928806,0.651393152582654,0.862009331656337
"230",0.880354374258787,0.819952353196244,0.665317661318801,0.861177432873769
"231",0.878319043558261,0.829115751551183,0.642024968207843,0.86468211459423
"232",0.875073117752242,0.825232872371765,0.637672511181782,0.866200803206688
"233",0.873910536281011,0.825594078384205,0.651478560552843,0.858397566900045
"234",0.874010923159832,0.830839251530613,0.65180533642593,0.869026164759957
"235",0.878286094605235,0.828145828196033,0.646647396091118,0.859031962514016
"236",0.87190606361885,0.829323319883256,0.634986009939938,0.858994567871763
"237",0.876096470675249,0.818408895449487,0.637480556150098,0.864094802730962
"238",0.874686634609085,0.815009932728043,0.650069439214373,0.867834875638435
"239",0.876116159838689,0.818358877886805,0.664683465358408,0.866978579459525
"240",0.876990223160319,0.814151029251825,0.645315722552231,0.855401033174665
"241",0.877111148958739,0.813278360375483,0.665903256319306,0.865592662791425
"242",0.866214416697879,0.814448987180889,0.648161470298026,0.869400613276856
"243",0.865631329057423,0.810979928370556,0.651656899398454,0.867482476370922
"244",0.864201941293498,0.82047043860571,0.646759476095471,0.873531175410083
"245",0.868884992410076,0.830616154048253,0.647790308408894,0.862412691198651
